E,pt,eta,phi
80670.1,50158.1,-1.04714,-1.77283
2224020.0,716713.0,1.79841,-3.07604
995005.0,433569.0,1.47218,-1.87024
235863.0,57718.2,2.08437,2.09293
626857.0,510042.0,-0.654462,0.658035
55049.4,53673.0,0.201006,-0.825242
221414.0,76046.1,-1.72749,0.489029
153077.0,144827.0,0.321701,-3.08339
930181.0,802553.0,-0.548925,-1.99848
511235.0,493474.0,0.25576,1.48649
621846.0,612722.0,0.0810345,1.5936
1252880.0,999784.0,-0.691928,-1.66662
1680050.0,1366760.0,0.659438,2.3074
903533.0,828581.0,-0.421616,-0.449414
88726.4,25594.9,1.91339,-1.62937
473393.0,59683.3,2.75972,2.21809
91480.7,54750.0,-1.09721,2.74255
825206.0,686832.0,-0.596799,-1.57882
40130.6,36437.0,0.405116,0.226141
418908.0,167356.0,1.56768,2.85958
97819.1,30707.7,-1.82281,-1.1205
209093.0,178835.0,0.506598,-2.29451
1191120.0,751245.0,-1.03414,0.992242
212681.0,46646.3,-2.19593,2.47577
748125.0,720877.0,0.207392,-1.2839
166180.0,162809.0,-0.154045,-0.426635
947898.0,360607.0,-1.62065,2.3235
389258.0,101955.0,2.01425,-2.96224
187678.0,181077.0,0.125595,-0.756515
235785.0,104883.0,-1.44444,-1.17579
168470.0,161612.0,-0.233968,-0.905857
2398370.0,226413.0,3.05092,1.32409
396552.0,340484.0,-0.560864,1.42422
1011540.0,540250.0,1.23839,-3.06604
150355.0,138131.0,0.366913,-1.54811
96834.9,60157.5,1.04709,1.73568
373759.0,363783.0,-0.155167,0.163306
231804.0,61204.0,-2.00629,2.08632
1362560.0,341258.0,2.06136,1.26916
110918.0,26682.2,2.10157,-2.37099
496684.0,135757.0,1.97032,3.12581
1390380.0,552791.0,1.57205,1.5893
409588.0,405916.0,-0.0792233,0.239692
245719.0,218870.0,0.488269,1.49082
195343.0,48969.5,2.06013,-0.498905
651017.0,608428.0,0.363271,-1.60225
55816.3,38412.0,-0.909585,-2.95261
332180.0,263631.0,-0.692201,1.5861
471802.0,109766.0,-2.1351,-0.961307
350248.0,245709.0,0.890175,1.48949
889765.0,692546.0,0.732799,-2.23399
281663.0,139152.0,1.3275,-3.07252
577503.0,56552.4,-3.01398,1.19684
231203.0,184637.0,0.68368,0.363476
82907.9,69896.2,-0.5793,-0.223289
365905.0,127806.0,1.7098,-2.43134
1175020.0,1069100.0,0.438061,1.90566
657042.0,22278.1,4.07699,-0.365124
690025.0,564025.0,0.651426,1.11047
142310.0,51960.5,1.66048,1.64071
300853.0,283361.0,0.323875,2.72461
77290.1,25503.7,-1.76915,-1.30159
36059.4,30874.3,-0.570258,2.54127
136617.0,23640.0,-2.43861,-2.39466
55891.0,36573.0,-0.977783,1.05376
610575.0,568020.0,-0.358182,-2.33805
2252650.0,347212.0,2.55579,-1.30397
50081.9,49691.0,0.092302,-1.52789
41394.3,26932.1,0.984021,0.197408
602307.0,591205.0,-0.127521,-1.13099
773103.0,347711.0,-1.43589,-0.538207
80449.5,37028.7,-1.4042,-3.08251
104653.0,56712.1,1.22058,2.30672
890557.0,78715.6,3.11713,-1.56414
2363920.0,903693.0,-1.61589,0.244719
358604.0,154732.0,-1.48187,-2.65523
1198350.0,765165.0,-1.01784,-1.28678
422276.0,420194.0,0.084186,1.51021
557346.0,542577.0,-0.217704,1.56527
269475.0,267691.0,-0.0491093,1.85129
559513.0,411615.0,-0.799711,1.66488
32843.1,24736.0,0.7871,-3.0776
254349.0,214694.0,-0.580609,2.20665
158892.0,60573.1,-1.61581,1.29648
509136.0,432345.0,0.554353,-2.26445
84221.7,37612.6,1.43872,0.515373
539427.0,99450.2,-2.37422,2.32457
471480.0,173120.0,-1.65779,-1.0304
1908150.0,1073810.0,1.17395,-0.220984
188898.0,170074.0,-0.427593,-2.15402
478977.0,402139.0,0.591304,-0.100758
62449.2,54701.3,-0.511446,-0.658976
154541.0,41492.1,-1.98834,0.968671
422875.0,48313.0,2.8591,-0.616635
